delta,Vy_SM,Vx_SM,Yaw,AVz,Yo,Xo,Kappa_L1,Kappa_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,AAz,Ay,Ax,Fx_L1,Fx_L2,Fx_R1,Fx_R2
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.024952719,109.99752,0.00045406914,0.16799295,3.3920919e-05,0.24444663,1.1723216e-05,-4.830171e-06,1779.6625,-0.6013842,1724.7395,-0.60522375,0.65194999,0.16160787,-0.032199358,1.2731438,-17.561744,-0.49804366,-27.127396
5,0.090555458,109.98444,0.0044165043,0.65863772,0.00033316795,0.54998054,0.00020986425,-3.4013675e-05,2639.2713,-5.0691478,2617.8475,-5.1757314,0.99867962,0.24200435,-0.038736445,14.805606,-14.148266,-2.3518033,-37.5004
5,0.16274482,109.97095,0.014014625,1.2733745,0.0010539383,0.85547793,0.0011659674,0.00068627958,2896.6155,-13.137124,2978.6541,-13.699062,1.1247417,0.26999763,-0.037138429,64.915014,-10.91561,39.292116,-42.218536
5,0.22882902,109.95848,0.030027991,1.9342627,0.0022430643,1.1609401,0.0023995179,0.0016814012,2945.4933,-21.57571,3159.3186,-23.617622,1.174213,0.28002814,-0.033569396,115.6736,-9.1964561,86.944598,-45.224933
5,0.28442512,109.94742,0.052757815,2.6139333,0.0039099996,1.4663706,0.0037605535,0.0027509521,2920.7907,-27.512731,3273.8283,-31.903995,1.1947874,0.28381394,-0.029480476,165.00423,-8.3378689,135.31417,-47.571217
5,0.32797515,109.93784,0.082327526,3.3010791,0.0060506329,1.7717733,0.0051241011,0.0037599578,2870.0581,-29.177304,3358.9607,-35.742117,1.2017355,0.28543633,-0.025468498,210.71636,-7.9285651,181.00957,-49.486848
5,0.35888923,109.92969,0.11877676,3.9891275,0.0086559759,2.0771521,0.0064193046,0.0046420188,2809.214,-25.739798,3422.424,-32.922119,1.198642,0.28611535,-0.021758136,251.89245,-7.799099,222.01778,-50.927038
5,0.37701178,109.92282,0.16208811,4.6731996,0.011715532,2.3825102,0.0076034162,0.0053790169,2748.2012,-16.97166,3468.7302,-22.139499,1.1879321,0.28658416,-0.018455039,288.10235,-7.8592864,257.42983,-51.802228
5,0.38240243,109.91709,0.21219978,5.3491442,0.015218945,2.6878506,0.0086598146,0.0059827556,2690.4989,-2.9751647,3498.8061,-3.3219999,1.1704675,0.28704468,-0.015583924,319.37456,-8.0601646,287.19291,-52.26195
